Date,Open,High,Low,Close,Volume,close_time,quote_av,trades,tb_base_av,tb_quote_av,ignore
2022-09-12 04:00:00,7.1709,7.1709,7.1612,7.1612,244.39,1662958799999,1751.3437,13,163.11,1169.2817,0
2022-09-12 05:00:00,7.1151,7.1151,7.049,7.049,10.11,1662962399999,71.4479,3,7.12,50.2757,0
2022-09-12 06:00:00,7.049,7.049,7.049,7.049,0.0,1662965999999,0.0,0,0.0,0.0,0
2022-09-12 07:00:00,7.0687,7.0687,7.0687,7.0687,1.9,1662969599999,13.4305,1,1.9,13.4305,0
2022-09-12 08:00:00,7.075,7.075,7.0567,7.0567,316.34,1662973199999,2235.0989,3,2.0,14.1134,0
2022-09-12 09:00:00,7.0648,7.0685,7.0579,7.0685,699.06,1662976799999,4936.9209,4,699.06,4936.9209,0
2022-09-12 10:00:00,7.0328,7.0343,7.0328,7.0343,163.0,1662980399999,1146.4964,2,0.0,0.0,0
2022-09-12 11:00:00,7.0424,7.0758,7.0424,7.0758,163.67,1662983999999,1153.9044,3,1.9,13.444,0
2022-09-12 12:00:00,7.0724,7.0724,7.0724,7.0724,15.66,1662987599999,110.7537,1,15.66,110.7537,0
2022-09-12 13:00:00,7.0445,7.0445,7.0445,7.0445,14.34,1662991199999,101.0181,1,0.0,0.0,0
2022-09-12 14:00:00,7.0361,7.0361,6.9565,6.9565,254.37,1662994799999,1786.9514,9,15.77,110.5414,0
2022-09-12 15:00:00,6.9007,6.912000000000001,6.8872,6.8872,456.68,1662998399999,3148.1201,11,218.58,1508.21,0
2022-09-12 16:00:00,6.8872,6.8872,6.8872,6.8872,0.0,1663001999999,0.0,0,0.0,0.0,0
2022-09-12 17:00:00,6.8872,6.8872,6.8171,6.85,485.81,1663005599999,3322.33,6,442.87,3026.6631,0
2022-09-12 18:00:00,6.8362,6.8453,6.8267,6.8453,578.6,1663009199999,3953.9734,4,0.0,0.0,0
2022-09-12 19:00:00,6.853,6.8832,6.853,6.8832,154.98,1663012799999,1066.6832,3,152.98,1052.9772,0
2022-09-12 20:00:00,6.8832,6.8832,6.8832,6.8832,0.0,1663016399999,0.0,0,0.0,0.0,0
2022-09-12 21:00:00,6.8921,6.9101,6.8921,6.9099,241.71,1663019999999,1666.6748,3,44.11,304.7959,0
2022-09-12 22:00:00,6.9015,6.9015,6.9015,6.9015,79.16,1663023599999,546.3224,7,79.16,546.3224,0
2022-09-12 23:00:00,6.8863,7.0070000000000014,6.882999999999999,7.0070000000000014,118.33,1663027199999,815.1543,5,20.29,140.345,0
2022-09-13 00:00:00,6.9338,7.1386,6.9338,7.1386,57.07,1663030799999,404.829,8,2.11,15.0624,0
2022-09-13 01:00:00,6.9653,6.9653,6.8306,6.8317,308.31,1663034399999,2108.8344,12,56.7,388.7519,0
2022-09-13 02:00:00,6.8181,6.8443,6.817,6.8443,64.95,1663037999999,442.8313,7,25.34,172.8101,0
2022-09-13 03:00:00,6.7997,6.8164,6.7997,6.8164,41.06,1663041599999,279.8564,6,0.0,0.0,0
2022-09-13 04:00:00,6.8164,6.8164,6.8164,6.8164,0.0,1663045199999,0.0,0,0.0,0.0,0
2022-09-13 05:00:00,6.7867,6.7867,6.7512,6.7811,16.99,1663048799999,115.0022,3,14.77,99.9358,0
2022-09-13 06:00:00,6.7943,6.7943,6.7904,6.7904,9.47,1663052399999,64.3358,2,9.47,64.3358,0
2022-09-13 07:00:00,6.7904,6.7904,6.7904,6.7904,0.0,1663055999999,0.0,0,0.0,0.0,0
2022-09-13 08:00:00,6.8447,6.8447,6.8447,6.8447,4.58,1663059599999,31.3487,1,4.58,31.3487,0
2022-09-13 09:00:00,6.7855,6.7855,6.7823,6.7823,22.12,1663063199999,150.048,2,22.12,150.048,0
2022-09-13 10:00:00,6.7899,6.7899,6.7899,6.7899,25.56,1663066799999,173.5497,2,25.56,173.5497,0
2022-09-13 11:00:00,6.7899,6.7899,6.7899,6.7899,0.0,1663070399999,0.0,0,0.0,0.0,0
2022-09-13 12:00:00,6.7764,6.7804,6.5862,6.5862,384.54,1663073999999,2585.4335,18,224.53,1515.6626,0
2022-09-13 13:00:00,6.5864,6.6793,6.5864,6.6793,1170.16,1663077599999,7729.8854,7,1081.39,7143.2489,0
2022-09-13 14:00:00,6.7426,7.0774,6.7426,6.9095,918.01,1663081199999,6401.2212,20,661.99,4617.1074,0
2022-09-13 15:00:00,6.9043,6.9043,6.6609,6.6903,280.04,1663084799999,1876.2894,11,155.53,1036.8028,0
2022-09-13 16:00:00,6.6608,6.6608,6.6023,6.6023,186.62,1663088399999,1234.5314,3,0.0,0.0,0
2022-09-13 17:00:00,6.6746,6.6746,6.6746,6.6746,38.46,1663091999999,256.7048,5,38.46,256.7048,0
